-8.650192,22.198719,14,16,22
10.325089,26.012716,18,18,4
11.1152725,-11.595107,4,26,26
15.48043,20.647623,20,2,4
12.271551,-21.574678,0,0,24
4.5539317,-30.272322,0,0,20
-7.7696786,-4.401262,12,14,14
-30.736616,-28.632849,2,6,20
-12.158058,21.69973,14,16,22
10.7511215,17.334623,20,4,4
-33.768375,-21.697336,2,8,0
-29.641943,-22.856321,8,8,0
-26.832277,-21.520426,8,8,0
-12.780057,23.651129,14,16,22
10.429806,19.457933,20,4,4
-11.327598,28.610134,14,22,22
1.3879378,2.7422032,12,28,28
25.24649,-21.250479,22,24,24
9.487732,7.8955197,6,30,28
20.492405,-20.84159,22,24,24
9.119423,-6.4735713,4,26,14
-9.417274,-3.545025,12,14,14
7.4458237,21.501106,6,10,4
-10.027737,7.402573,12,16,16
-5.980678,18.748383,16,16,10
-10.199057,24.81234,14,16,22
-20.063545,-16.818043,8,8,0
2.1395133,-18.087086,12,0,26
14.300133,18.818045,20,4,4
5.874955,13.934168,6,12,4
16.641994,19.610226,20,2,4
-9.795512,21.29076,14,16,22
-9.452028,23.477077,14,16,22
-22.0048,-18.933872,8,8,0
14.170082,-12.30628,4,26,24
-27.37982,-12.206186,8,8,16
0.16862239,-23.37898,12,0,0
22.292112,-19.706747,22,24,24
18.324133,-18.42573,0,24,24
-29.092987,-15.497689,8,8,16
-9.535313,22.371626,14,16,22
-24.585455,-20.908175,8,8,0
10.793822,29.957087,24,18,32
-28.310238,-18.474016,8,8,0
-0.8201744,23.465181,16,22,10
8.262078,-17.86309,4,0,24
19.100882,6.3362536,20,36,30
6.959805,20.58897,6,10,4
17.181358,21.636301,10,2,32
22.89897,-7.4472904,4,34,30
23.482208,24.50632,10,2,32
10.364032,-15.497412,4,26,24
-29.047575,-20.510904,8,8,0
-9.353644,19.329365,16,16,22
10.952543,-27.195919,0,0,24
-32.13164,-12.942818,8,8,16
18.608953,-18.492743,0,24,24
13.278204,-6.8100734,4,26,28
8.290205,7.677731,6,30,28
-8.817358,18.579704,16,16,22
-10.070565,23.922747,14,16,22
11.26217,26.400543,18,18,32
